,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME,SUBDIVISON,OUTERPLANAR
206,16,21,2,HostwayInternational.graphml,2,3.0,2.0,4.0,0.007970333099365234,False,False
207,37,36,1,Reuna.graphml,0,0.0,0.0,0.0,0.026401281356811523,False,True
208,68,92,1,Esnet.graphml,1,12.0,12.0,12.0,0.12583065032958984,True,False
209,88,92,3,VtlWavenet2008.graphml,3,2.3333333333333335,2.0,3.0,0.008327007293701172,False,False
210,28,35,2,Shentel.graphml,2,5.0,2.0,8.0,0.014428853988647461,False,False
211,23,44,1,Belnet2005.graphml,1,5.0,5.0,5.0,0.005917787551879883,False,False
212,92,96,4,VtlWavenet2011.graphml,4,2.0,1.0,3.0,0.04100441932678223,False,False
213,69,74,1,Latnet.graphml,2,2.0,2.0,2.0,0.07613968849182129,True,False
214,43,56,1,Renater2010.graphml,1,12.0,12.0,12.0,0.018347740173339844,True,False
215,25,30,2,Karen.graphml,3,1.6666666666666667,1.0,2.0,0.016506195068359375,False,False
216,11,18,1,Sprint.graphml,1,6.0,6.0,6.0,0.00426030158996582,True,False
217,8,7,1,Gblnet.graphml,0,0.0,0.0,0.0,0.0011246204376220703,False,True
218,28,31,3,Darkstrand.graphml,3,2.0,2.0,2.0,0.005127906799316406,False,False
219,48,65,2,Bellcanada.graphml,5,4.2,1.0,13.0,0.03468012809753418,False,False
220,13,14,2,HiberniaCanada.graphml,2,1.5,1.0,2.0,0.0034322738647460938,False,False
221,49,84,1,Uunet.graphml,1,20.0,20.0,20.0,0.0894017219543457,True,False
222,18,53,1,Highwinds.graphml,1,13.0,13.0,13.0,0.015740633010864258,False,False
223,29,45,1,Janetbackbone.graphml,1,7.0,7.0,7.0,0.004929780960083008,False,False
224,11,10,1,Singaren.graphml,0,0.0,0.0,0.0,0.0020072460174560547,False,True
225,37,66,1,Iij.graphml,1,11.0,11.0,11.0,0.03750872611999512,True,False
226,43,45,1,Sanet.graphml,1,3.0,3.0,3.0,0.019136428833007812,True,False
227,27,38,1,Geant2001.graphml,1,11.0,11.0,11.0,0.026096820831298828,True,False
228,51,52,2,Cudi.graphml,2,1.5,1.0,2.0,0.03772854804992676,False,False
229,29,32,1,Arpanet19728.graphml,1,6.0,6.0,6.0,0.003909111022949219,False,False
230,23,27,1,Fccn.graphml,0,0.0,0.0,0.0,0.0059468746185302734,False,True
231,56,75,1,Garr201010.graphml,1,9.0,9.0,9.0,0.11821389198303223,True,False
232,38,39,1,KentmanJan2011.graphml,0,0.0,0.0,0.0,0.018314838409423828,False,True
233,36,76,1,BtNorthAmerica.graphml,1,23.0,23.0,23.0,0.020420551300048828,False,False
234,55,69,1,Garr200909.graphml,1,9.0,9.0,9.0,0.12798118591308594,True,False
235,21,31,3,Belnet2009.graphml,5,2.0,2.0,2.0,0.00892949104309082,False,False
236,19,20,1,Savvis.graphml,1,2.0,2.0,2.0,0.0027608871459960938,True,True
237,17,21,1,Fatman.graphml,1,2.0,2.0,2.0,0.007577657699584961,True,True
238,54,68,2,Garr200912.graphml,2,5.0,1.0,9.0,0.1267843246459961,False,False
239,20,26,1,Oxford.graphml,1,6.0,6.0,6.0,0.004436016082763672,True,False
240,30,31,1,GtsHungary.graphml,0,0.0,0.0,0.0,0.00796055793762207,False,True
241,19,24,4,Aarnet.graphml,4,1.75,1.0,2.0,0.010396957397460938,False,False
242,32,41,2,Canerie.graphml,4,2.5,1.0,4.0,0.020203351974487305,False,False
